,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
120,bahir dar,0,ET,1513968028,41,11.59,37.39,50.43,2.86
121,bratsk,75,RU,1513965600,84,56.15,101.63,1.4,2.24
122,ostrovskoye,24,RU,1513968029,75,57.81,42.24,7.81,6.06
123,olhao,0,PT,1513967400,87,37.03,-7.84,59,10.29
124,moba,12,CD,1513968030,100,-7.04,29.77,69.46,5.32
125,young,20,UY,1513968031,68,-32.7,-57.63,89.35,6.4
126,zhuanghe,0,CN,1513968031,100,39.7,122.97,27.57,10.65
127,honningsvag,75,NO,1513965000,80,70.98,25.97,33.8,21.92
128,brezovo,76,BG,1513967400,100,42.93,26.01,24.8,5.5
129,ambunti,92,PG,1513968033,100,-4.22,142.82,74.5,2.37
130,hunza,,,,,,,,
131,yayva,80,RU,1513968033,87,59.33,57.26,21.54,10.92
132,pangkalanbuun,44,ID,1513968034,88,-2.68,111.62,75.54,4.72
133,brigantine,90,US,1513966620,76,39.41,-74.36,51.8,8.05
134,lufilufi,44,WS,1513968035,100,-13.87,-171.6,83.28,11.77
135,kulhudhuffushi,80,MV,1513968035,100,6.62,73.07,82.51,10.92
136,sabratah,92,LY,1513968036,100,32.79,12.49,58.44,27.2
137,jishou,12,CN,1513968036,76,28.26,109.7,33.69,2.08
138,koumac,0,NC,1513968037,91,-20.56,164.28,71.13,7.4
139,kloulklubed,40,PW,1513965000,100,7.04,134.26,75.2,11.77
140,kyra,,,,,,,,
141,yarensk,48,RU,1513968038,87,62.17,49.09,24.06,5.32
142,santa cruz de la palma,75,ES,1513967400,64,28.68,-17.76,68,8.05
143,bonfim,92,BR,1513968038,79,-20.33,-44.24,75.45,4.05
144,wonthaggi,20,AU,1513968039,78,-38.6,145.59,57.13,3.83
145,puerto el triunfo,40,SV,1513965000,45,13.27,-88.55,89.6,3.36
146,salinopolis,8,BR,1513968040,86,-0.61,-47.36,84.81,15.12
147,dhanera,76,IN,1513968040,55,24.51,72.02,62.8,3.38
148,jibuti,,,,,,,,
149,muscat,0,OM,1513965000,64,23.6,58.55,68,5.82
150,tashtyp,92,RU,1513968041,73,52.8,89.89,16.45,10.31
151,matay,68,EG,1513968041,61,28.42,30.79,73.74,11.1
152,dali,0,CN,1513968042,100,25.6,100.24,37.65,2.26
153,somerset,90,US,1513965360,87,37.09,-84.6,57.2,8.05
154,carnarvon,0,ZA,1513968043,19,-30.97,22.13,68.65,5.55
155,maragogi,76,BR,1513968043,68,-9.01,-35.22,83.55,11.77
156,utiroa,,,,,,,,
157,acuna,,,,,,,,
158,elat,12,CM,1513968044,85,2.91,11.16,74.01,2.59
159,marcona,,,,,,,,
160,minab,0,IR,1513965600,40,27.15,57.07,69.8,4.7
161,umea,0,SE,1513966800,92,63.83,20.26,23,3.36
162,bolshoye sorokino,,,,,,,,
163,great yarmouth,75,GB,1513966800,100,52.61,1.73,48.2,6.93
164,cristalina,64,BR,1513968046,67,-16.77,-47.61,84.18,2.48
165,ringebu,64,NO,1513968047,69,61.53,10.14,16.5,2.75
166,new norfolk,75,AU,1513965600,58,-42.78,147.06,59,4.7
167,nhulunbuy,40,AU,1513965600,78,-12.18,136.78,82.4,4.7
168,udachnyy,56,RU,1513968048,65,66.42,112.4,-30.35,3.2
169,kalga,8,RU,1513968048,38,50.92,118.9,-8.35,3.38
170,sai buri,92,TH,1513968049,99,6.7,101.62,73.29,3.09
171,kaitangata,36,NZ,1513968049,88,-46.28,169.85,51.55,3.09
172,bonham,90,US,1513966500,93,33.58,-96.18,44.6,10.29
173,apastovo,90,RU,1513965600,92,55.2,48.51,17.6,8.95
174,bull savanna,76,JM,1513968050,61,17.89,-77.59,82.15,7.56
175,nyurba,48,RU,1513968050,60,63.29,118.35,-28.19,3.53
176,kayerkan,0,RU,1513968051,4,69.35,87.76,-27.61,2.75
177,guaiba,20,BR,1513965600,46,-30.11,-51.33,93.2,8.05
178,kamaishi,92,JP,1513968052,84,39.28,141.86,35.31,5.1
179,mutsamudu,,,,,,,,
180,petrov val,44,RU,1513968053,82,50.14,45.21,20.01,8.63
181,hovd,75,NO,1513966800,97,63.83,10.7,35.6,5.82
182,kuche,,,,,,,,
183,beni mazar,36,EG,1513968054,63,28.5,30.8,72.7,9.91
184,hvide sande,88,DK,1513966800,87,56.01,8.13,42.8,9.17
185,bronnoysund,20,NO,1513966800,80,65.46,12.2,35.6,10.29
186,omaruru,0,NA,1513968055,47,-21.42,15.95,74.23,12.15
187,kinshasa,20,CD,1513965600,83,-4.32,15.31,77,3.36
188,kastamonu,92,TR,1513968055,98,41.38,33.78,31.66,2.75
189,yanai,75,JP,1513965300,80,33.97,132.12,41,5.82
190,samfya,44,ZM,1513968056,72,-11.37,29.56,73.92,6.85
191,carballo,0,ES,1513967400,81,43.21,-8.69,51.8,4.7
192,shkotovo-26,,,,,,,,
193,goundam,0,ML,1513968057,34,16.42,-3.66,66.85,15.95
194,hulan ergi,0,CN,1513968057,40,47.2,123.63,-7.4,2.82
195,lagos,56,NG,1513965600,69,6.46,3.39,82.4,4.7
196,guangyuan,8,CN,1513968059,78,32.43,105.86,27.48,2.04
197,alekseyevsk,68,RU,1513968059,72,57.84,108.35,1.83,2.86
198,bahia blanca,0,AR,1513968012,44,-38.72,-62.27,80.71,5.5
199,shellbrook,75,CA,1513965600,51,53.22,-106.39,10.4,10.29
200,ambovombe,92,MG,1513968060,95,-25.18,46.09,73.78,18.86
201,mogocha,32,RU,1513968061,43,53.73,119.76,-10.78,5.88
202,hienghene,0,NC,1513968061,100,-20.68,164.93,76.08,14.45
203,ongole,8,IN,1513968061,93,15.51,80.05,66.85,3.31
204,jomalig,,,,,,,,
205,ortakoy,75,TR,1513965000,93,38.74,34.04,46.4,4.7
206,halalo,,,,,,,,
207,teya,75,MX,1513965000,48,21.05,-89.07,86,14.99
208,kars,0,TR,1513965600,79,40.61,43.1,37.4,12.75
209,makkaveyevo,48,RU,1513965600,61,51.75,113.95,12.2,8.95
210,katsuura,32,JP,1513968064,98,33.93,134.5,37.02,7.85
211,danjiangkou,20,CN,1513968065,73,32.54,111.51,29.5,2.86
212,barmer,12,IN,1513968065,58,25.74,71.4,56.19,4.72
213,tonantins,76,BR,1513968065,81,-2.86,-67.77,82.29,4.09
214,kota bahru,,,,,,,,
215,carmarthen,68,GB,1513965000,100,51.86,-4.31,50,5.82
216,sitka,76,US,1513968066,48,37.17,-99.65,30,9.53
217,derac,40,HT,1513965600,65,19.65,-71.82,80.6,9.17
218,verkh-usugli,8,RU,1513968067,65,52.7,115.17,-5.74,3.98
219,tchollire,0,CM,1513968068,67,8.4,14.17,80.04,2.71
220,dombarovskiy,36,RU,1513968068,72,50.76,59.54,-1.24,10.76
221,houma,36,CN,1513968069,81,35.63,111.36,20.1,0.29
222,verkhoyansk,68,RU,1513968069,13,67.55,133.39,-47.27,3.49
223,pokhara,0,NP,1513968069,82,28.21,83.99,42.28,2.19
224,caravelas,0,BR,1513968070,99,-17.73,-39.27,79.63,16.46
225,jumla,0,NP,1513968070,65,29.28,82.18,9.3,1.07
226,mackenzie,90,CA,1513965600,85,55.34,-123.09,10.4,4.7
227,marang,,,,,,,,
228,dar es salaam,0,TZ,1513968071,74,-6.81,39.28,81.03,11.65
229,vaini,12,IN,1513968071,57,15.34,74.49,65.28,5.06
230,bekhtery,68,UA,1513968072,96,46.25,32.3,33.33,9.13
231,east london,75,ZA,1513965600,94,-33.02,27.91,68,2.24
232,bagdarin,32,RU,1513968073,58,54.44,113.59,-4.34,4.27
233,bogotol,88,RU,1513968073,81,56.21,89.53,8.71,10.8
234,yining,92,CN,1513968074,81,29.04,114.56,38.73,1.97
235,antsirabe,44,MG,1513968074,90,-19.87,47.03,62.13,2.37
236,xinpu,75,TW,1513965600,72,24.83,121.07,68,4.7
237,badiraguato,75,MX,1513964580,60,25.36,-107.55,73.4,2.53
238,dunedin,48,NZ,1513968075,91,-45.87,170.5,51.46,3.2
239,nazilli,68,TR,1513968075,98,37.91,28.32,51.1,3.71
240,ladan,92,UA,1513968076,91,50.51,32.59,29.86,9.53
241,kutum,0,SD,1513968076,39,14.2,24.66,64.11,5.55
242,torrington,1,US,1513965180,72,42.06,-104.18,17.6,8.05
243,puerto rondon,64,CO,1513968077,37,6.28,-71.1,94.3,15.9
244,biak,68,ID,1513968078,100,-0.91,122.88,78.87,2.37
245,keshan,,,,,,,,
246,stromness,90,CA,1513966740,92,42.87,-79.55,33.8,6.93
247,karoi,24,ZW,1513968079,89,-16.82,29.68,70.23,1.25
248,sao miguel do araguaia,92,BR,1513968079,80,-13.28,-50.16,86.07,4.72
249,forestville,40,CA,1513965600,71,48.74,-69.09,6.8,10.29
250,barcelos,0,PT,1513967400,93,41.53,-8.62,50,2.24
251,moses lake,90,US,1513967580,100,47.13,-119.28,26.6,6.93
252,nantucket,90,US,1513966500,64,41.28,-70.1,37.4,9.17
253,fortuna,0,ES,1513967400,71,38.18,-1.13,57.2,6.93
254,amalner,56,IN,1513968082,73,21.04,75.07,61.5,4.38
255,les cayes,12,HT,1513968082,96,18.19,-73.75,83.23,5.88
256,morro bay,1,US,1513965360,49,35.37,-120.85,51.8,4.27
257,touros,48,BR,1513968083,77,-5.2,-35.46,83.46,14.94
258,port alfred,8,ZA,1513968084,100,-33.59,26.89,68.52,8.79
259,salym,88,RU,1513968084,92,60.06,71.48,21.85,5.61
260,pinyug,92,RU,1513968084,87,60.25,47.79,25.23,3.87
261,saint pete beach,0,US,1513966500,69,27.73,-82.74,78.8,3.2
262,abong mbang,36,CM,1513968085,46,3.98,13.18,81.3,2.86
263,salalah,0,OM,1513965000,24,17.01,54.1,78.8,13.87
264,gigmoto,88,PH,1513968086,100,13.78,124.39,79.18,21.39
265,babanusah,,,,,,,,
266,fort nelson,40,CA,1513965600,92,58.81,-122.69,5,2.24
267,tornio,75,FI,1513966800,92,61.12,27.27,30.2,6.93
268,umba,56,RU,1513968088,100,66.69,34.34,21.99,6.73
269,road town,40,VG,1513965600,66,18.42,-64.62,84.2,9.17
270,mildura,0,AU,1513968051,57,-34.18,142.16,61.18,2.75
271,krasnoselkup,,,,,,,,
272,praia,40,BR,1513965600,42,-20.25,-43.81,84.2,4.7
273,concepcion del uruguay,20,AR,1513968090,64,-32.48,-58.24,90.88,3.09
274,tateyama,100,JP,1513968091,92,36.66,137.31,22.08,1.97
275,kruisfontein,24,ZA,1513968091,86,-34,24.73,67.93,9.86
276,gualeguay,0,AR,1513968092,66,-33.15,-59.31,92.37,4.5
277,bagalkot,0,IN,1513968092,74,16.19,75.7,58.71,3.83
278,iskateley,68,RU,1513968093,89,67.68,53.15,26.13,16.28
279,mullaitivu,,,,,,,,
280,nalut,36,LY,1513968093,95,31.86,10.98,41.43,9.64
281,artyk,,,,,,,,
282,kyshtovka,56,RU,1513968094,88,56.56,76.62,9.7,9.64
283,kargasok,92,RU,1513968094,88,59.06,80.87,13.75,3.38
284,belyy yar,0,RU,1513965600,67,53.6,91.39,19.4,15.66
285,miyako,75,JP,1513965600,65,33.63,130.94,46.4,3.36
286,soyaux,90,FR,1513967400,93,45.64,0.19,48.2,3.36
287,la libertad,40,PE,1513965600,45,-16.38,-71.56,66.2,12.75
288,bosansko grahovo,20,BA,1513968096,80,44.18,16.37,30.18,3.71
289,kabirwala,0,PK,1513965600,82,30.4,71.87,57.2,3.53
290,zyryanka,64,RU,1513968097,69,65.73,150.89,-18.34,3.71
291,assiniboia,56,CA,1513968097,82,49.63,-105.99,11.46,12.55
292,osoyoos,75,CA,1513965600,63,49.03,-119.47,28.4,13.87
293,xingtai,8,CN,1513968098,69,37.07,114.49,21.13,2.48
294,tazmalt,75,DZ,1513965600,87,36.39,4.4,53.6,9.17
295,ko samui,44,TH,1513967864,99,9.54,99.94,81.12,14.79
296,jieshi,56,CN,1513968099,100,22.82,115.83,60.78,15.46
297,san carlos park,1,US,1513965180,61,26.47,-81.81,80.6,5.82
298,khandbari,20,NP,1513968100,64,27.38,87.21,31.17,0.96
299,yuanping,0,CN,1513968100,64,38.72,112.71,13.35,3.38
300,kaithal,0,IN,1513968100,73,29.8,76.4,52.41,9.01
301,constitucion,75,MX,1513964400,39,23.99,-104.67,64.4,20.8
302,general pico,36,AR,1513968101,50,-35.66,-63.75,87.91,9.35
303,nortelandia,48,BR,1513968006,91,-14.45,-56.8,83.37,4.21
304,boffa,48,GN,1513968102,57,10.18,-14.04,85.8,3.53
305,lakes entrance,0,AU,1513968102,97,-37.88,147.99,61.41,4.61
306,khonuu,,,,,,,,
307,svecha,92,RU,1513968103,96,58.28,47.52,24.28,4.54
308,dunkwa,8,GH,1513968103,68,5.97,-1.78,78.78,2.71
309,santa maria del tule,40,MX,1513964520,33,17.03,-96.62,73.4,3.36
310,caborca,0,MX,1513968104,36,30.58,-111.1,46.83,3.71
311,riohacha,20,CO,1513965600,46,11.54,-72.91,91.4,18.34
312,braslav,,,,,,,,
313,tawzar,,,,,,,,
314,mandal,0,MN,1513968105,26,48.82,106.5,-15.28,2.26
315,bhadrak,0,IN,1513968106,90,21.06,86.51,59.88,2.86
316,mirnyy,80,RU,1513968106,90,56.57,36.46,20.55,10.42
317,bubaque,0,GW,1513965600,34,11.28,-15.83,80.6,9.17
318,aracuai,8,BR,1513968107,60,-16.85,-42.07,86.2,7.34
319,la paz,75,MX,1513964460,45,24.15,-110.32,68,19.46
320,solnechnyy,12,RU,1513968108,37,50.72,136.64,-18.97,2.53
321,baglung,0,NP,1513968109,92,28.27,83.59,36.48,1.97
322,allende,48,MX,1513968109,100,28.34,-100.85,69.1,4.5
323,palabuhanratu,,,,,,,,
324,general roca,0,AR,1513965600,51,-39.03,-67.58,80.6,14.99
325,wanaka,32,NZ,1513968110,99,-44.7,169.14,43.5,1.97
326,amurzet,0,CN,1513968110,51,47.69,131.09,-12.22,2.71
327,dalvik,0,SE,1513966800,93,57.79,14.13,35.6,6.93
328,koksovyy,36,RU,1513968111,91,48.2,40.6,25.86,7.74
329,eqbaliyeh,0,IR,1513965600,85,35.3,51.54,55.4,6.93
330,pusad,56,IN,1513968113,75,19.91,77.57,59.16,2.82
331,yirol,,,,,,,,
332,saurimo,20,AO,1513968113,93,-9.66,20.4,69.87,3.38
333,luderitz,12,NA,1513968114,79,-26.65,15.16,63.66,15.05
334,brownsville,40,US,1513967340,66,25.91,-97.49,84.2,31.09
335,letpadan,0,MM,1513968115,83,17.78,95.75,58.3,2.26
336,tolmin,40,IT,1513967400,92,46.18,13.73,41,3.36
337,shelburne,90,CA,1513966320,79,44.08,-80.2,23,8.05
338,toora-khem,68,RU,1513968116,70,52.47,96.11,-3.49,2.75
339,kaeo,92,NZ,1513968116,98,-35.1,173.78,63.48,5.88
340,saryshagan,,,,,,,,
341,nuuk,75,GL,1513965000,74,64.17,-51.74,33.8,17.22
342,quatre cocos,40,MU,1513965600,74,-20.21,57.76,78.8,3.36
343,kapit,76,MY,1513968118,98,2.02,112.94,73.96,2.04
344,waipawa,64,NZ,1513968118,90,-39.94,176.59,54.12,3.6
345,damnoen saduak,20,TH,1513968118,64,13.52,99.95,69.46,6.55
346,narok,12,KE,1513968119,50,-1.09,35.87,65.46,9.13
347,san jeronimo,40,PE,1513965600,58,-13.65,-73.37,55.4,2.37
348,lebyazhye,75,RU,1513965600,98,59.96,29.42,32,4.47
349,binghamton,90,US,1513965300,82,42.1,-75.91,32,10.29
350,cap malheureux,40,MU,1513965600,74,-19.98,57.61,78.8,3.36
351,arraial do cabo,75,BR,1513965600,74,-22.97,-42.02,87.8,17.22
352,kaa-khem,76,RU,1513968122,61,51.7,94.56,-9.7,2.75
353,barbar,,,,,,,,
354,aykhal,56,RU,1513968122,64,65.95,111.51,-30.4,3.71
355,jackson,90,US,1513967160,100,35.61,-88.82,60.8,6.93
356,valenca,0,BR,1513968123,80,-13.37,-39.07,82.02,11.36
357,pimentel,12,BR,1513968124,71,-3.7,-45.5,88.59,4.76
358,bandar-e torkaman,,,,,,,,
359,sentyabrskiy,,,,,,,,
360,hofn,40,IS,1513965600,80,64.25,-15.21,39.2,19.46
361,dingli,0,MT,1513966500,70,35.86,14.38,46.4,2.24
362,samalaeulu,,,,,,,,
363,rancho palos verdes,5,US,1513965480,16,33.75,-118.37,60.8,7.63
364,umm ruwabah,,,,,,,,
365,bang saphan,36,TH,1513968126,65,11.21,99.51,78.24,9.64
366,bourail,20,NC,1513968127,97,-21.57,165.5,62.31,3.04
367,galle,90,US,1513966860,100,29.74,-97.91,73.4,17.22
368,seoul,40,KR,1513965600,88,37.57,126.98,41,6.93
369,tatvan,20,TR,1513968128,80,38.5,42.28,35.26,4.27
370,sonepur,0,IN,1513965600,88,25.7,85.16,62.6,3.36
371,neufchateau,90,FR,1513967400,100,48.35,5.7,48.2,3.31
372,yar,80,RU,1513968129,88,58.24,52.11,18.3,9.24
373,sorvag,,,,,,,,
374,madimba,75,CM,1513965600,88,4.42,9.93,80.6,3.36
375,ahipara,100,NZ,1513968130,100,-35.17,173.16,64.38,5.88
376,nakskov,44,DK,1513968130,93,54.84,11.13,41.65,17.81
377,maceio,75,BR,1513965600,69,-9.67,-35.74,82.4,14.99
378,cervo,68,BR,1513968131,88,-22.19,-46.24,70.41,6.78
379,sheridan,20,US,1513965480,44,39.65,-105.03,39.2,11.41
380,concepcion,0,CO,1513968132,41,9.56,-73.66,95.34,2.98
381,high prairie,76,CA,1513968133,78,55.43,-116.48,14.83,8.86
382,wulanhaote,,,,,,,,
383,norsup,0,VU,1513968133,98,-16.07,167.38,76.3,9.91
384,ferrol,0,ES,1513967400,81,43.48,-8.23,51.8,4.7
385,wareham,75,GB,1513966800,100,50.69,-2.11,50,2.24
386,varnamo,75,SE,1513966800,93,57.19,14.04,35.6,6.93
387,jaque,,,,,,,,
388,san borja,92,BO,1513968135,97,-14.86,-66.75,74.68,4.32
389,maghama,,,,,,,,
390,tagusao,92,PH,1513968136,100,9.19,117.81,73.47,3.87
391,vancouver,90,US,1513966740,93,45.63,-122.67,37.4,2.08
392,pasighat,32,IN,1513968136,78,28.06,95.33,52.59,1.74
393,amatlan,,,,,,,,
394,chernyshkovskiy,24,RU,1513968137,89,48.42,42.23,25,8.86
395,tumannyy,,,,,,,,
396,lasa,20,CY,1513967400,60,34.92,32.53,69.8,5.82
397,cortez,1,US,1513965180,46,37.35,-108.58,30.2,13.87
398,oytal,0,KZ,1513968138,68,42.91,73.27,14.2,3.27
399,usinsk,80,RU,1513968070,89,66,57.56,24.87,11.59
400,dogondoutchi,36,NE,1513968139,22,13.64,4.03,80.8,10.31
401,mokhotlong,8,LS,1513968139,86,-29.29,29.06,50.56,2.48
402,morant bay,40,JM,1513965600,62,17.88,-76.41,87.8,6.93
403,faribault,75,US,1513966500,79,44.3,-93.27,24.8,6.93
404,oranzherei,90,RU,1513965600,100,45.85,47.57,28.4,11.18
405,paamiut,0,GL,1513968141,89,61.99,-49.67,31.17,7.23
406,sembe,,,,,,,,
407,dalbandin,0,PK,1513968142,83,28.9,64.41,44.22,2.71
408,grand gaube,40,MU,1513965600,74,-20.01,57.66,78.8,3.36
409,barentsburg,,,,,,,,
410,san martin,1,US,1513965360,52,37.08,-121.61,48.2,4.7
411,plettenberg bay,92,ZA,1513968143,96,-34.05,23.37,66.09,14.34
412,gurgan,,,,,,,,
413,bali chak,0,IN,1513968144,86,22.37,87.55,58.8,2.82
414,monroe,90,US,1513966740,89,41.91,-83.4,37.4,2.82
415,samatau,,,,,,,,
416,kiunga,92,PG,1513968145,99,-6.12,141.3,73.65,2.19
417,palu,20,ID,1513968145,89,-0.9,119.87,64.47,1.74
418,blackfoot,75,US,1513965180,58,43.19,-112.35,32,18.34
